EC,RA,MA,MB,CP,K2,L2,MI
955881378101811.2,1142489.0122333115,2.686852065057005e+33,3.002048513045395e+33,0.1746449536133578,0.07978830002006139,1.5513235637224264e+36,1.2590284624328938e+45
972322185229736.2,1142043.9000931121,2.7456467890515454e+33,3.0761580607622376e+33,0.17853615869079492,0.07785330731777085,1.510755125814859e+36,1.2984428236813327e+45
989045768176094.4,1141530.6033940618,2.803793245906897e+33,3.149900288821406e+33,0.18239912222825796,0.07591162112549968,1.469768984276874e+36,1.3377334477743388e+45
1006056990580661.0,1140939.834498998,2.861770143441775e+33,3.2238827416094375e+33,0.1862671728690177,0.0739511688739235,1.4281103820377808e+36,1.3772008196592847e+45
1023360799736018.0,1140276.852190527,2.9187403440318554e+33,3.29703431325005e+33,0.1900857106507452,0.07200418866682655,1.3864758817768094e+36,1.416251420259028e+45
1040962228026366.9,1139532.2149147352,2.975182507295029e+33,3.369960596127969e+33,0.19388817481306903,0.07005754572652273,1.344593392796956e+36,1.4551825961976436e+45
1058866394391049.2,1138702.0192039039,3.0311020465440586e+33,3.4426667581298574e+33,0.19767638249580607,0.06811396670828042,1.3025357255938167e+36,1.4939738828345662e+45
1077078505813278.9,1137785.5485919,3.08633498749347e+33,3.514936735970754e+33,0.20144058157250905,0.06618182658348756,1.2605028538632494e+36,1.532486534330013e+45
1095603858834456.2,1136776.6364390268,3.1410601817277184e+33,3.587001656690568e+33,0.2051943678005751,0.06425727141488109,1.2184311491709022e+36,1.5708206325199866e+45
1114447841094553.2,1135696.6065077214,3.194090093125161e+33,3.6572820095286143e+33,0.20885705574563887,0.06238421686603577,1.177306075977635e+36,1.6081140600297267e+45
1133615932898949.2,1134522.3318876997,3.246494524154784e+33,3.7271762087762967e+33,0.21250342960702495,0.06052642860115479,1.1363531256014331e+36,1.645085099615196e+45
1153113708812258.5,1133258.3133745152,3.297969869670572e+33,3.796272364652577e+33,0.2161135949840968,0.058696108732730345,1.0958645951428499e+36,1.6814928502537522e+45
1172946839279546.2,1131900.4337257969,3.3486117830377053e+33,3.8646883392350115e+33,0.21969536399984568,0.056891090914328854,1.055816417025524e+36,1.7173773704925314e+45
1193121092275455.5,1130458.6635736313,3.398033986175881e+33,3.931889049980729e+33,0.2232221822378084,0.05512625762210698,1.0165645489275486e+36,1.752438802935315e+45
1213642334981651.0,1128939.3847146165,3.446038318199443e+33,3.9975819238312087e+33,0.2266803088895892,0.053409301556219535,9.783022164652425e+35,1.786506014187855e+45
1234516535493163.5,1127329.4744922991,3.493036987114748e+33,4.062310170419733e+33,0.23010001139157388,0.051725908798109566,9.407310026104552e+35,1.8198426750009576e+45
1255749764554050.8,1125647.1986969986,3.5385198227160255e+33,4.125350283072496e+33,0.2334445050754838,0.05009468279059394,9.042866568416052e+35,1.8520599936834043e+45
1277348197322945.5,1123870.675226657,3.5830793015958533e+33,4.187502968634447e+33,0.23675785601618526,0.048494430381068494,8.68513507271046e+35,1.883549969205578e+45
1299318115168915.2,1122011.8057220317,3.626415284289784e+33,4.2483344089101756e+33,0.2400183399691358,0.04693611735549713,8.336760230793214e+35,1.9140770612290358e+45
1321665907498264.2,1120059.8901488828,3.6687802751788174e+33,4.3081822001145693e+33,0.2432454778113487,0.0454107160004551,7.995904400002837e+35,1.9437962732610752e+45
1344398073612722.8,1118060.321101458,3.709262143704121e+33,4.3657324225550153e+33,0.24636931156080133,0.043951040761035835,7.670052845061255e+35,1.9720490767221113e+45
1367521224599629.5,1115980.1636407305,3.748585718619268e+33,4.421984201423237e+33,0.24944527901087182,0.04253050523994732,7.353361806214096e+35,1.999319175834204e+45
1391042085254571.2,1113828.3605474248,3.786606610625078e+33,4.4767102294438476e+33,0.2524621257873667,0.04115401380070259,7.047037379999256e+35,2.02548697887049e+45
1414967496037143.2,1111597.0908409406,3.82348597939207e+33,4.5301211737649054e+33,0.25543265544364896,0.039815371336197565,6.749798301511184e+35,2.0506447579954137e+45
1439304415060317.8,1109310.6011260462,3.858875551371056e+33,4.581689810689862e+33,0.258328265086227,0.03852693944457148,6.464476251256812e+35,2.074541647563369e+45
1464059920114060.0,1106959.8114794819,3.8929668773404195e+33,4.6316684527624493e+33,0.26116391628402164,0.0372812215992472,6.1894551689993546e+35,2.097292764938287e+45
1489241210723695.5,1104550.5770918613,3.9257204836003666e+33,4.679975904046446e+33,0.2639356683850051,0.036079346775429136,5.925018595658339e+35,2.1188610177212952e+45
