,ec_st,R_st,M_st,Mb_st,rT_st
104,1155406227665090.0,1133104.661793184,3.303911558483874e+33,3.804280535126393e+33,0.0
105,1171261075264584.2,1132020.6906881505,3.3443680839423214e+33,3.8589397774218224e+33,0.0
106,1187333488068752.2,1130883.9505850791,3.384275961686969e+33,3.9131723949960563e+33,0.0
107,1203626451575750.8,1129689.9301603339,3.422819317245938e+33,3.965760928864825e+33,0.0
108,1220142992251681.0,1128444.3186620579,3.4609134873128515e+33,4.01802869771137e+33,0.0
109,1236886178092769.2,1127145.6345138436,3.49820469913951e+33,4.0694569375744e+33,0.0
110,1253859119195235.2,1125805.020082291,3.534599628465184e+33,4.1199231182298527e+33,0.0
111,1271064968333032.2,1124392.8403638613,3.570290250482534e+33,4.1696226032112404e+33,0.0
112,1288506921543464.2,1122934.064567812,3.6053025621725375e+33,4.2186517468810895e+33,0.0
113,1306188218720864.2,1121418.1782748285,3.639622711117763e+33,4.266954825602924e+33,0.0
114,1324112144218414.2,1119844.326969422,3.6733123192945426e+33,4.31461708753146e+33,0.0
115,1342282027458228.5,1118248.0522458737,3.7055805687145143e+33,4.3604873409573206e+33,0.0
116,1360701243549782.5,1116599.592322896,3.737165872022129e+33,4.405614326472231e+33,0.0
117,1379373213916881.5,1114898.6726096014,3.7680027712122465e+33,4.449889721309926e+33,0.0
118,1398301406933179.0,1113156.5111676387,3.79797765280614e+33,4.493147180595438e+33,0.0
119,1417489338566442.0,1111358.789226547,3.827281914032337e+33,4.535641040883881e+33,0.0
120,1436940573031653.2,1109535.5375990842,3.855561333309586e+33,4.5768645448714616e+33,0.0
121,1456658723453080.2,1107666.5622365626,3.8829450979161423e+33,4.616941565070715e+33,0.0
122,1476647452535400.0,1105755.6328058566,3.909674264474601e+33,4.656294770680957e+33,0.0
123,1496910473244092.8,1103814.1725638334,3.935317355206041e+33,4.6941842706039385e+33,131771.70918455726
124,1517451549495112.8,1101827.987278339,3.9603175440167406e+33,4.731323654205867e+33,186828.31955452572
125,1538274496854052.8,1099809.880820108,3.984478528163513e+33,4.767386316570588e+33,229965.68658043048
126,1559383183244896.2,1097757.3108923673,4.0078037506807486e+33,4.8023547680363533e+33,261691.05366176303
127,1580781529668496.0,1095658.821502377,4.030433039150615e+33,4.8364384593965846e+33,292410.4298386825
128,1602473510930918.2,1093561.3928231592,4.0519999403370123e+33,4.869086486976899e+33,317663.50211270683
129,1624463156381748.2,1091420.476354072,4.0728780692925896e+33,4.900821314321368e+33,340563.11337037175
130,1646754550662593.2,1089269.3961330517,4.092858563174295e+33,4.931337194303858e+33,360730.4970862823
131,1669351834465790.0,1087097.7924074063,4.111989150662511e+33,4.960674978876233e+33,379711.52386755747
132,1692259205303558.5,1084890.4785994496,4.130478712318902e+33,4.9891566716606054e+33,395665.490457068
133,1715480918287701.0,1082631.6699905335,4.1484213510665396e+33,5.0169132746175574e+33,411490.0783301948
134,1739021286920001.5,1080337.3573057787,4.1657285592165903e+33,5.043802632840142e+33,426430.7840395541
135,1762884683893480.2,1078040.7072189245,4.182163021763613e+33,5.069454815642351e+33,440603.37135765335
136,1787075541904603.5,1075728.46585056,4.197873072959677e+33,5.094083113713666e+33,453105.0597548821
137,1811598354476715.0,1073410.891864994,4.2127669496849937e+33,5.117518789848019e+33,464882.31591931457
138,1836457676794690.8,1071142.5225295913,4.2266199118400693e+33,5.139427379409821e+33,475687.13680262235
139,1861658126551086.8,1068842.99398552,4.2398658406384435e+33,5.1604329627147476e+33,486484.2255940713
140,1887204384803888.5,1066506.029784077,4.2526250466937295e+33,5.180757465588978e+33,496323.8364971723
141,1913101196846038.2,1064139.5895589727,4.264827978019645e+33,5.200269180617307e+33,505076.28748630447
142,1939353373086857.5,1061737.45830682,4.276499937366736e+33,5.219000252863266e+33,514330.03509970085
143,1965965789945640.5,1059301.487768844,4.2876647592675344e+33,5.237000397741612e+33,522334.5752035392
144,1992943390757433.0,1056856.0749854075,4.2982085032177583e+33,5.254065492186494e+33,529892.9575571644
145,2020291186691278.0,1054469.3415291058,4.307863436805875e+33,5.269743553540712e+33,537639.0813418357
146,2048014257681056.8,1052067.842295197,4.317061845150192e+33,5.284768002986509e+33,544689.651916442
147,2076117753369100.5,1049673.8825626771,4.3255267330768247e+33,5.298604556212266e+33,550918.9494993767
148,2104606894062760.2,1047273.8025778832,4.333523671703203e+33,5.311742596687868e+33,556930.1046053963
149,2133486971704061.0,1044873.4215316058,4.3409785671114235e+33,5.324037979562396e+33,562755.520944741
